id,Coffee_Name,Coffee_Type,Description,Coffee_Shop,Flavour,Milk_Type,Temperature,Roast_Type,Origin,Image_URL
1,Espresso,Espresso,"""A standard Italian Espresso pulled through 9 bars of pressure & 91ºC of water. The medium-dark roast gives hints of dark chocolate, Caramel and a smokey aftertaste. ZUS Blend is a 100% Specialty Grade Arabica hand-crafted blend consisting of Brazil, Papua New Guinea & Indonesia Single Origin Beans. This ZUS blend exhibits captivating aroma, toasty, caramel flavours, low acidity, and creamy mouthfeel with a dark cocoa aftertaste. Elevation: 800 – 2000 masl. Process: Natural & Washed""",Zus Coffee,,,Hot,Medium Dark,"Brazil, Papua New Guinea, Indonesia",https://zuscoffee.com/wp-content/uploads/2022/06/espresso.png
2,Hot Flat White,Flat White,"""For those seeking the perfect balance of creamy milk, velvety foam and pure espresso.

DID YOU KNOW?

Flat White actually originated from Australia. There are two types of Flat White, one has lesser milk but similar foam to a latte, the other has a lot of milk and less foam.

Our version is filled with

Milk 90-100%
Foam 0-10%""",Zus Coffee,,Dairy Milk,Hot,Medium Dark,"Brazil, Papua New Guinea, Indonesia",https://zuscoffee.com/wp-content/uploads/2022/06/flat-white.png
3,Hot Americano,Americano,"""A shot of Espresso gently poured over the water, retaining the crema of the Espresso and the aroma of the coffee. For those who enjoy taking their time.

“During WW2, The Americans in Europe couldn’t take the strong Espresso that Europeans were used to having.

They diluted their Espresso with water and that is how the Americano came about.”
Acidity • • 2/5
Sweetness • • • 3/5
Bitterness • • 2/5
Mouthfeel • • • • 4/5

100% Arabica Coffee Beans, Single Origin

Beans: Brazil FAF Mountain Mogiana
Altitude: 1200 masl
Process: Natural
Cupping notes: Hazelnut, creamy, citrus""",Zus Coffee,,,Hot,Medium Dark,"Brazil, Papua New Guinea, Indonesia",https://zuscoffee.com/wp-content/uploads/2022/05/Americano.png
4,Iced Americano,Americano,"""A shot of Espresso gently poured over the water, retaining the crema of the Espresso and the aroma of the coffee. For those who enjoy taking their time.

“During WW2, The Americans in Europe couldn’t take the strong Espresso that Europeans were used to having.

They diluted their Espresso with water and that is how the Americano came about.”
Acidity • • 2/5
Sweetness • • • 3/5
Bitterness • • 2/5
Mouthfeel • • • • 4/5

100% Arabica Coffee Beans, Single Origin

Beans: Brazil FAF Mountain Mogiana
Altitude: 1200 masl
Process: Natural
Cupping notes: Hazelnut, creamy, citrus""",Zus Coffee,,,Iced,Medium Dark,"Brazil, Papua New Guinea, Indonesia",https://zuscoffee.com/wp-content/uploads/2022/05/Americano.png
5,Hot Salted Caramel Latte,Latte,"""For those who like their coffee on the milky side with an extra sweetness. Crafted with 100% Authentic French Syrup.

DID YOU KNOW?

“MONIN uses only pure essence of each ingredient in the creation of their syrups.”

This traditional Latte infused with Monin Gourmet French Syrup is for those who like their coffee with a bit more flavour and sweetness.""",Zus Coffee,Caramel,Dairy Milk,Hot,Medium Dark,"Brazil, Papua New Guinea, Indonesia",https://zuscoffee.com/wp-content/uploads/2022/05/salted_caramel_latte.png
6,Iced Salted Caramel Latte,Latte,"""For those who like their coffee on the milky side with an extra sweetness. Crafted with 100% Authentic French Syrup.

DID YOU KNOW?

“MONIN uses only pure essence of each ingredient in the creation of their syrups.”

This traditional Latte infused with Monin Gourmet French Syrup is for those who like their coffee with a bit more flavour and sweetness.""",Zus Coffee,Caramel,Dairy Milk,Iced,Medium Dark,"Brazil, Papua New Guinea, Indonesia",https://zuscoffee.com/wp-content/uploads/2022/05/salted_caramel_latte.png
7,Hot Roasted Hazelnut Latte,Latte,"""For those who like their coffee on the milky side and a little nutty. Crafted with 100% Authentic French Syrup.

DID YOU KNOW?

“MONIN uses only pure essence of each ingredient in the creation of their syrups.”

This traditional Latte infused with Monin Gourmet French Syrup is for those who like their coffee with a bit more flavour and sweetness.""",Zus Coffee,Hazelnut,Dairy Milk,Hot,Medium Dark,"Brazil, Papua New Guinea, Indonesia",https://zuscoffee.com/wp-content/uploads/2022/05/roasted_hazelnut_latte.png
8,Iced Roasted Hazelnut Latte,Latte,"""For those who like their coffee on the milky side and a little nutty. Crafted with 100% Authentic French Syrup.

DID YOU KNOW?

“MONIN uses only pure essence of each ingredient in the creation of their syrups.”

This traditional Latte infused with Monin Gourmet French Syrup is for those who like their coffee with a bit more flavour and sweetness.""",Zus Coffee,Hazelnut,Dairy Milk,Iced,Medium Dark,"Brazil, Papua New Guinea, Indonesia",https://zuscoffee.com/wp-content/uploads/2022/05/roasted_hazelnut_latte.png
9,Hot French Vanilla Latte,Latte,"""For those who like their coffee on the milky side with a pump of vanilla. Crafted with 100% Authentic French Syrup.

DID YOU KNOW?

“MONIN uses only pure essence of each ingredient in the creation of their syrups.”

This traditional Latte infused with Monin Gourmet French Syrup is for those who like their coffee with a bit more flavour and sweetness.""",Zus Coffee,Vanilla,Dairy Milk,Hot,Medium Dark,"Brazil, Papua New Guinea, Indonesia",https://zuscoffee.com/wp-content/uploads/2022/05/french_vanilla_latte.png
10,Iced French Vanilla Latte,Latte,"""For those who like their coffee on the milky side with a pump of vanilla. Crafted with 100% Authentic French Syrup.

DID YOU KNOW?

“MONIN uses only pure essence of each ingredient in the creation of their syrups.”

This traditional Latte infused with Monin Gourmet French Syrup is for those who like their coffee with a bit more flavour and sweetness.""",Zus Coffee,Vanilla,Dairy Milk,Iced,Medium Dark,"Brazil, Papua New Guinea, Indonesia",https://zuscoffee.com/wp-content/uploads/2022/05/french_vanilla_latte.png
